DAP,HT,HP,VOL
34,27,"1,8","0,897144143"
"41,5","27,95","2,75","1,620444067"
"29,6","26,35","1,15","0,800818082"
"34,3","27,15","1,95","1,079168178"
"34,5","26,2",1,"0,98011117"
"29,9","27,1","1,9","0,90670219"
"28,4","25,4","2,3","0,773158479"
"29,5","25,5","2,4","0,871500147"
"36,3",27,"1,8","1,313246912"
"36,3","26,7","1,5","1,386889064"
"32,5","26,65","1,45","1,05488406"
"28,9","25,75","2,65","0,958481737"
"32,6","27,7","2,5","1,080176734"
28,"23,6","2,6","0,707953624"
"29,9","24,75","1,65","0,80218652"
"35,5","24,35","1,25","1,021154861"
"39,2","26,95","1,75","1,593808401"
"33,6","25,1",2,"0,966786969"
"37,8","27,95","2,75","1,575067806"
"43,8","27,7","2,5","1,811451984"
"34,5","27,3","2,1","1,235541345"
"36,6","27,35","2,15","1,410937091"
"31,5","24,7","1,6","1,097025973"
"42,6","26,5","3,4","2,183092382"
32,"27,1","1,9","1,096088783"
"37,5","27,5","2,3","1,297105343"
"28,5","25,75","2,65","0,816150625"
34,"27,7","2,5","1,159136974"
"32,5","26,9","1,7","1,164796069"
"30,5","25,7","2,6","1,057496333"
"33,5","25,55","2,45","1,054169622"
"31,5","25,7","2,6","1,111284759"
"27,5","25,3","2,2","0,69816124"
"33,2","26,9","1,7","1,293219861"
"32,5","26,4","1,2","1,068561769"
48,"27,6","2,4","2,474600725"
"32,6","27,3","2,1","1,090368427"
"30,5","27,15","1,95","1,055454416"
"29,5","27,6","2,4","0,91374157"
"39,5","27,9","2,7","1,6585749"
38,"23,9","2,9","1,223326637"
"32,6","25,65","2,55","1,019462917"
"36,8","26,6","1,4","1,294737944"
"37,4","24,6","1,5","1,532379793"
"46,9","26,85","1,65","2,2877395"
33,"24,4","1,3","1,289547208"
"32,5","26,7","1,5","1,121396249"
"36,5","24,85","1,75","1,631535683"
"37,5","28,4","3,2","1,562016727"
41,"28,35","3,15","1,669449797"
39,"27,8","2,6","1,618694907"
"34,5","25,35","2,25","1,39629994"
"38,5","26,95","1,75","1,44058544"
34,"25,05","1,95","1,290200345"
37,"26,95","1,75","1,449697656"
"39,5","25,2","2,1","1,84115861"
"40,5","26,95","1,75","1,705795393"
"38,5","25,5","2,4","1,663501192"
"37,6","26,3","3,2","1,696968146"
48,"24,8","1,7","2,46730791"
"42,5","26,9","1,7","1,693964875"
"42,5","26,4","1,2","1,647382269"
"30,5","25,5","2,4","0,885574757"
"34,5",27,"1,8","1,336868586"
32,"27,55","2,35","1,238372653"
45,"26,35","1,15","1,723427216"
"31,5","25,6","2,5","1,133460633"
"36,5","26,85","1,65","1,315467232"
"39,5","26,4","1,2","1,512153041"
49,"24,7","1,6","2,524499191"
"33,5","24,2","1,1","1,17376656"
35,"27,9","2,7","1,438394651"
"29,5","22,8","1,8","0,756933685"
"34,5",26,"2,9","1,343324638"
"36,5","24,1",1,"1,342169553"
"36,5","25,7","2,6","1,257222144"
37,"25,55","2,45","1,304124865"
40,"25,5","2,4","1,492358651"
"43,5","25,2","2,1","1,969654265"
35,"27,5","2,3","1,427657446"
44,"26,05","2,95","2,303479901"
"33,4","25,2","2,1","1,217760677"
"40,1","26,1",3,"1,745768429"
"35,6","27,5","2,3","1,353220746"
"37,6","27,15","1,95","1,491812093"
"38,5","26,7","1,5","1,665473994"
29,"25,5","2,4","0,973841454"
"35,5","27,8","2,6","1,428755119"
"32,5","25,5","2,4","1,044920145"
"27,6","25,35","2,25","0,812943491"
"44,5","26,5","3,4","2,062238925"
"31,1","27,55","2,35","1,034404868"
"39,5",26,"2,9","1,538627478"
42,"27,1","1,9","1,942963595"
"31,5","23,5","2,5","0,922165279"
"33,1","25,75","2,65","1,096695556"
31,"25,7","2,6","1,051435023"
43,"27,9","2,7","2,009060479"
40,"24,2","1,1","1,741120875"
38,"27,65","2,45","1,533672414"
